site_id,site_name,timestamp,site_health_score,ap_total,ap_online,ap_offline,client_count,auth_failures_1h,active_alerts,alert_severity,alert_description,ssid_count,uplink_quality
SITE-BR-01,Branch — Sukhumvit,2026-04-11T07:00:00Z,65,16,16,0,64,3,1,warning,AP offline — auto-recovery in progress,3,good
SITE-BR-02,Branch — Silom,2026-04-11T07:00:00Z,43,16,13,3,19,8,1,warning,AP 02-03 offline — auto-recovery in progress,3,good
SITE-BR-03,Branch — Chatuchak,2026-04-11T07:00:00Z,87,12,12,0,48,2,0,none,,3,good
SITE-BR-04,Branch — Ladprao,2026-04-11T07:00:00Z,81,12,12,0,36,2,1,info,Routine maintenance window active,3,good
SITE-DC-01,Data Centre — Wing A,2026-04-11T07:00:00Z,97,12,11,1,12,2,0,none,,2,good
SITE-DC-02,Data Centre — Wing B,2026-04-11T07:00:00Z,96,12,12,0,48,0,0,none,,2,good
SITE-HQ-01,Bangkok HQ — Floor 1,2026-04-11T07:00:00Z,84,24,23,1,48,1,0,none,,4,good
SITE-HQ-02,Bangkok HQ — Floor 2,2026-04-11T07:00:00Z,86,24,24,0,72,3,0,none,,4,good
SITE-HQ-03,Bangkok HQ — Floor 3,2026-04-11T07:00:00Z,88,24,23,1,24,0,0,none,,4,good
SITE-HQ-04,Bangkok HQ — Floor 4,2026-04-11T07:00:00Z,73,20,19,1,60,0,0,none,,4,good
SITE-WH-01,Warehouse — Lat Krabang,2026-04-11T07:00:00Z,86,8,7,1,8,3,0,none,,2,good
SITE-WH-02,Warehouse — Bang Na,2026-04-11T07:00:00Z,65,8,8,0,24,1,1,warning,AP offline — auto-recovery in progress,2,good
SITE-BR-01,Branch — Sukhumvit,2026-04-11T08:00:00Z,53,16,12,4,86,15,1,warning,AP 01-04 offline — auto-recovery in progress,3,poor
SITE-BR-02,Branch — Silom,2026-04-11T08:00:00Z,26,16,12,4,105,16,1,critical,Multiple APs offline — power issue suspected,3,good
SITE-BR-03,Branch — Chatuchak,2026-04-11T08:00:00Z,77,12,11,1,120,1,1,info,Routine maintenance window active,3,good
SITE-BR-04,Branch — Ladprao,2026-04-11T08:00:00Z,82,12,12,0,120,3,0,none,,3,good
SITE-DC-01,Data Centre — Wing A,2026-04-11T08:00:00Z,95,12,12,0,132,3,0,none,,2,good
SITE-DC-02,Data Centre — Wing B,2026-04-11T08:00:00Z,92,12,12,0,168,2,0,none,,2,good
SITE-HQ-01,Bangkok HQ — Floor 1,2026-04-11T08:00:00Z,92,24,24,0,288,3,0,none,,4,good
SITE-HQ-02,Bangkok HQ — Floor 2,2026-04-11T08:00:00Z,90,24,23,1,336,0,0,none,,4,good
SITE-HQ-03,Bangkok HQ — Floor 3,2026-04-11T08:00:00Z,92,24,23,1,336,3,0,none,,4,good
SITE-HQ-04,Bangkok HQ — Floor 4,2026-04-11T08:00:00Z,81,20,19,1,160,2,1,info,Routine maintenance window active,4,good
SITE-WH-01,Warehouse — Lat Krabang,2026-04-11T08:00:00Z,84,8,8,0,64,2,0,none,,2,good
SITE-WH-02,Warehouse — Bang Na,2026-04-11T08:00:00Z,67,8,8,0,112,0,1,warning,AP offline — auto-recovery in progress,2,good
SITE-BR-01,Branch — Sukhumvit,2026-04-11T09:00:00Z,44,16,12,4,96,19,1,critical,Multiple APs offline — power issue suspected,3,good
SITE-BR-02,Branch — Silom,2026-04-11T09:00:00Z,27,16,12,4,124,13,1,warning,AP 02-04 offline — auto-recovery in progress,3,good
SITE-BR-03,Branch — Chatuchak,2026-04-11T09:00:00Z,86,12,12,0,120,2,0,none,,3,good
SITE-BR-04,Branch — Ladprao,2026-04-11T09:00:00Z,77,12,11,1,132,1,0,none,,3,good
SITE-DC-01,Data Centre — Wing A,2026-04-11T09:00:00Z,96,12,11,1,156,3,0,none,,2,good
